Entry ID,Jurisdiction ,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group"
AB096,Alta.,2020-05-03,2020-05-04,Health workforce,Health workforce — safety guidelines,"Who: Alberta College and Association of Chiropractors 
What: Approved Alberta College and Association of Chiropractors Pandemic Practice Directive by the province. Chiropractors may reopen only if they are able to implement the directive.
Effective until: ",https://pro-bee-beepro-messages.s3.amazonaws.com/443036/423016/822241/5111655.html?modified=1588535288977,Not applicable,Provincial/territorial,No
AB097,Alta.,2020-04-28,2020-03-15,Health services,Health services — telemedicine/virtual care,"Who: Alberta Dental Association and College 
What: Introduced a temporary billing code for remote consultation services — retroactive to 2020-03-15.
Effective until: ",https://www.dentalhealthalberta.ca/Covid-19-info/other-resources/adac-communications/,Not applicable,Provincial/territorial,No
AB098,Alta.,2020-05-04,2020-05-04,Openings,Openings — health services,"Who: Alberta College of Optometrists 
What: Issued a directive allowing optometry clinics to offer routine care. The City of Lloydminster is not included as is it governed under the Saskatchewan Public Health Act and must continue to offer emergency/urgent care services only. 
Effective until: ",https://collegeofoptometrists.ab.ca/wp-content/uploads/2020/05/Return_to_Routine_Optometry_Care.pdf,Not applicable,Provincial/territorial,No
AB099,Alta.,2020-04-15,2020-04-15,Health workforce,Health workforce — change in practice,"Who: College of Registered Dental Hygienists of Alberta 
What: Announced call for registered dental hygienists who are not presently Alberta Health Services employees to volunteer during the COVID-19 pandemic
Effective until: ",https://crdha.ca/,Not applicable,Provincial/territorial,No
AB100,Alta.,2020-05-01,2020-05-04,Health workforce,Health workforce — safety guidelines,"Who: Alberta Dental Association and College 
What: Updated guidelines on emergency and urgent treatment. Definitions of urgent treatment provided. 
Effective until: ",https://www.dentalhealthalberta.ca/wp-content/uploads/2020/05/Guidelines-on-Emergency-Treatment_5.4.2020.pdf,Not applicable,Provincial/territorial,No
AB101,Alta.,2020-03-11,No data,Case management,Case management — assessment centres,"Who: Alberta Health Services
What: Opened assessment centres in Edmonton and Calgary due to high demand for virus testing
Effective until:",Not applicable,https://globalnews.ca/news/6661570/health-link-assessment-labs-alberta-coronavirus/,Provincial/territorial,No
AB102,Alta.,2020-03-27,2020-03-27,Closures,Closures — non-essential services,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Ordered closures of non-essential places of business including any place of business providing personal services, wellness services and retail stores
Effective until: ",https://open.alberta.ca/dataset/c02f3b06-9c37-4845-98ee-d07d805fdce1/resource/32f3367d-9a15-4aef-af6e-4e960891c14e/download/health-cmoh-record-of-decision-cmoh-07-2020.pdf,https://www.alberta.ca/restrictions-on-businesses.aspx,Provincial/territorial,No
AB103,Alta.,2020-05-04,No data,Health workforce,Health workforce — change in practice,"Who: College and Association of Registered Nurses of Alberta 
What: Issued a ministerial order modifying the Nursing Homes General Regulation and the Nursing Homes Operation Regulation to enable nurse practitioners to work to their full scopes of practice in nursing homes during the COVID-19 pandemic
Effective until: 2020-08-14",https://nurses.ab.ca/about/what-is-carna/news/news-story/updates-on-novel-coronavirus-covid19,https://www.alberta.ca/release.cfm?xID=71250C5D71902-FADC-21BD-C052BEC9A12ED2A8,Provincial/territorial,No
AB104,Alta.,2020-05-08,2020-05-08,Openings,Openings — recreation,"Who: Government of Alberta
What: Permitted travel to summer homes, cabins and cottages within Alberta, reminding Albertans to consider local community guidelines and the health and safety of small communities
Effective until: ",https://www.alberta.ca/release.cfm?xID=713059FD4BFD2-C553-8318-CA124E3833514426,Not applicable,Provincial/territorial,No
AB105,Alta.,2020-05-08,2020-05-08,Openings,Openings — recreation,"Who: Government of Alberta
What: Permitted outdoor gun ranges to open, with restrictions to ensure adequate physical distancing, increased sanitization and limited contact with high-touch objects and surfaces
Effective until: ",https://www.alberta.ca/release.cfm?xID=713059FD4BFD2-C553-8318-CA124E3833514426,Not applicable,Provincial/territorial,No
AB106,Alta.,2020-05-13,2020-05-14,Openings,Openings — recreation,"Who: Government of Alberta
What: Permitted museums and art galleries to resume operations in all areas 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Provincial/territorial,No
AB107,Alta.,2020-05-13,2020-05-14,Openings,Openings — non-essential services,"Who: Government of Alberta
What: Permitted cafés, restaurants, pubs and bars to reopen for table service at 50% capacity in all areas except the cities of Calgary and Brooks 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Regional,No
AB108,Alta.,2020-05-13,2020-05-14,Openings,Openings — non-essential services,"Who: Government of Alberta
What: Permitted retail businesses, such as clothing, furniture and bookstores, and farmers' markets to resume operations in all areas
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Provincial/territorial,No
AB109,Alta.,2020-05-13,2020-05-14,Openings,Openings — non-essential services,"Who: Government of Alberta
What: Permitted hair stylists and barbershops to resume operations in all areas, except the cities of Calgary and Brooks 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Regional,No
AB110,Alta.,2020-05-13,2020-05-14,Openings,Openings — daycares,"Who: Government of Alberta
What: Permitted daycares and out-of-school care to resume in all areas; facilities may operate with a maximum cohort of 10 people, including staff and children
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Provincial/territorial,No
AB111,Alta.,2020-05-13,2020-05-14,Openings,Openings — daycares,"Who: Government of Alberta
What: Permitted day camps, including summer school, to resume in all areas except the cities of Calgary and Brooks; facilities may operate with a maximum cohort of 50 people, including staff and children 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Regional,No
AB112,Alta.,2020-05-13,2020-05-14,Openings,Openings — education,"Who: Government of Alberta
What: Permitted post-secondary institutions in all areas except the cities of Calgary and Brooks to deliver courses with more flexibility for in-person delivery once the existing health order prohibiting in-person classes is lifted 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Regional,No
AB113,Alta.,2020-05-13,2020-05-14,Openings,Openings — non-essential services,"Who: Government of Alberta
What: Permitted places of worship and funeral services to reopen provided they follow specific guidance in all areas, except the cities of Calgary and Brooks 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Regional,No
AB114,Alta.,2020-05-13,2020-05-04,Health services,Health services — resumed medical procedures,"Who: Government of Alberta
What: Resumed some scheduled, non-urgent surgeries gradually
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,https://www.alberta.ca/release.cfm?xID=71415671C0F0F-09D5-D29B-90D4D50D2FD8CA1B,Provincial/territorial,No
AB115,Alta.,2020-05-13,2020-05-14,Openings,Openings — health services,"Who: Government of Alberta
What: Permitted regulated health professions in all areas of the province (e.g., dentists, physiotherapists, speech-language pathologists, respiratory therapists, audiologists, social workers, occupational therapists, dieticians, etc.) to offer all services as long as they continue to follow approved guidelines set by their professional colleges
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,https://www.alberta.ca/alberta-relaunch-strategy.aspx,Provincial/territorial,No
AB116,Alta.,2020-05-13,2020-05-25,Openings,Openings — non-essential services,"Who: Government of Alberta
What: Permitted hair stylists and barbershops to resume operations in the cities of Calgary and Brooks 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Regional,No
AB117,Alta.,2020-05-13,2020-05-25,Openings,Openings — non-essential services,"Who: Government of Alberta
What: Permitted cafés, restaurants, pubs and bars in the cities of Calgary and Brooks to reopen for table service at 50% capacity 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Regional,No
AB119,Alta.,2020-05-13,2020-06-01,Openings,Openings — non-essential services,"Who: Government of Alberta
What: Permitted places of worship and funeral services in the cities of Calgary and Brooks to reopen provided they follow specific guidance 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Regional,No
AB120,Alta.,2020-05-13,2020-06-01,Openings,Openings — daycares,"Who: Government of Alberta
What: Permitted day camps, including summer school, to resume in the cities of Calgary and Brooks; facilities may operate with a maximum cohort of 50 people, including staff and children 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71348A0F295D8-DA49-AFDF-A55CD044FEE7F8B8,Not applicable,Regional,No
AB122,Alta.,2020-05-14,2020-06-01,Openings,Openings — recreation,"Who: Government of Alberta
What: Permitted Alberta Parks' online campground reservation system to open for bookings at select campgrounds starting June 1, with some restrictions in place; out-of-province bookings will not be processed
Effective until: ",https://www.alberta.ca/alberta-relaunch-strategy.aspx,Not applicable,Provincial/territorial,No
AB123,Alta.,2020-05-01,2020-05-01,Openings,Openings — recreation,"Who: Government of Alberta
What: Permitted vehicle access to parking lots and staging areas in provincial parks
Effective until: ",https://albertaparks.ca/albertaparksca/news-events/response-to-covid-19/,Not applicable,Provincial/territorial,No
AB124,Alta.,2020-05-15,2020-05-15,Distancing,Distancing — gatherings,"Who: Government of Alberta
What: Increased the limit on outdoor gatherings to 50 people or fewer with distancing measures in place
Effective until: ",https://www.alberta.ca/release.cfm?xID=713670A2FA9AB-D92C-888C-09E8339AEA83B882,Not applicable,Provincial/territorial,No
AB125,Alta.,2020-05-20,2020-05-20,Travel,Travel — self-isolation,"Who: Government of Alberta
What: Enacted public health measures for international travellers arriving at the Edmonton and Calgary airports. Travellers will need to complete an Alberta isolation questionnaire that details how they will follow mandatory isolation requirements. Provincial officials will follow up with travellers within 3 days to ensure they are following public health orders and have the information and support they need. 
Effective until: ",https://www.alberta.ca/release.cfm?xID=71397FFF740D6-0176-5B5F-9E0149A38F3E4D52,Not applicable,Regional,No
